Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
1338,895,1815,1168,1129,142,53
1260,800,1777,1056,1105,216,55
1191,876,1854,1191,1276,164,58
1183,571,1627,1186,1192,172,53
1345,461,1872,1325,1332,140,54
1315,844,1600,1203,1283,180,50
1264,842,1706,1217,1170,155,54
1317,657,1825,1246,1119,205,55
1345,942,1638,1124,1174,194,60
1275,780,1843,1066,1113,114,55
1217,681,1926,1116,1315,263,53
1276,844,1780,1181,1182,143,54
1324,668,1869,1310,1141,105,55
1258,847,2093,1133,1212,153,57
1255,947,1931,1008,1185,144,58
1192,689,1676,1171,1199,122,49
1332,764,1836,1078,1191,223,53
1336,726,2017,1212,1067,100,52
1258,600,1865,1170,1179,182,57
1332,930,1713,1123,1068,138,54
1349,1214,1662,1292,1175,266,50
1269,1021,1700,1315,1201,195,51
1240,767,1528,1263,1104,134,53
1238,796,1994,1298,1201,201,56
1363,1011,1619,1305,1060,157,56
1284,707,1908,1242,1160,179,53
1283,910,1779,1089,1043,172,57
1290,727,1805,1249,1079,218,56
1268,567,1698,1064,1139,106,55
1253,657,1908,1235,977,221,53
1286,716,1770,1205,1156,170,52
1264,564,2004,1222,1246,106,54
1280,894,1757,1220,1011,77,56
1358,844,1938,1114,1070,195,48
1311,727,1927,1107,1111,181,56
1360,636,1575,1179,1198,198,56
1328,719,1738,1069,1198,144,54
1345,750,1499,1002,1232,176,52
1295,687,1821,1115,1172,150,54
1247,655,1767,1156,1134,187,55
1260,811,1501,1182,1182,163,56
1258,710,1889,1187,1120,208,56
1289,966,1807,1142,1116,171,57
1314,718,1816,1005,1157,138,58
1222,629,1759,1118,1168,193,57
1329,502,1705,1010,1097,203,57
1291,720,1664,1160,1164,205,55
1252,652,1575,1148,1202,266,55
1212,784,2026,1135,1173,226,55
1219,750,1907,1220,1112,156,53
