Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
1338,895,1815,1168,1129,142,53
1260,800,1777,1056,1105,216,55
1191,876,1854,1191,1276,164,58
1183,571,1627,1186,1192,172,53
1345,461,1872,1325,1332,140,54
1315,844,1600,1203,1283,180,50
1264,842,1706,1217,1170,155,54
1317,657,1825,1246,1119,205,55
1345,942,1638,1124,1174,194,60
1275,780,1843,1066,1113,114,55
1217,681,1926,1116,1315,263,53
1276,844,1780,1181,1182,143,54
1324,668,1869,1310,1141,105,55
1258,847,2093,1133,1212,153,57
1255,947,1931,1008,1185,144,58
1192,689,1676,1171,1199,122,49
1332,764,1836,1078,1191,223,53
1336,726,2017,1212,1067,100,52
1258,600,1865,1170,1179,182,57
1332,930,1713,1123,1068,138,54
1349,1214,1662,1292,1175,266,50
1269,1021,1700,1315,1201,195,51
1240,767,1528,1263,1104,134,53
1238,796,1994,1298,1201,201,56
1363,1011,1619,1305,1060,157,56
1284,707,1908,1242,1160,179,53
1283,910,1779,1089,1043,172,57
1290,727,1805,1249,1079,218,56
1268,567,1698,1064,1139,106,55
1253,657,1908,1235,977,221,53
1286,716,1770,1205,1156,170,52
1264,564,2004,1222,1246,106,54
1280,894,1757,1220,1011,77,56
1358,844,1938,1114,1070,195,48
1311,727,1927,1107,1111,181,56
1360,636,1575,1179,1198,198,56
1328,719,1738,1069,1198,144,54
1345,750,1499,1002,1232,176,52
1295,687,1821,1115,1172,150,54
1247,655,1767,1156,1134,187,55
1260,811,1501,1182,1182,163,56
1258,710,1889,1187,1120,208,56
1289,966,1807,1142,1116,171,57
1314,718,1816,1005,1157,138,58
1222,629,1759,1118,1168,193,57
1329,502,1705,1010,1097,203,57
1291,720,1664,1160,1164,205,55
1252,652,1575,1148,1202,266,55
1212,784,2026,1135,1173,226,55
1219,750,1907,1220,1112,156,53
1222,798,1786,1269,1237,237,59
1266,1178,1854,1268,1151,264,56
1280,631,1853,1067,1260,138,53
1257,833,1675,970,1129,125,59
1255,904,1799,1164,1055,110,59
1131,651,1842,1069,1158,275,51
1218,790,1834,1250,1117,153,54
1315,744,1709,1241,968,102,58
1351,653,1838,1150,1097,191,57
1273,785,1975,1298,1094,123,55
1342,699,1678,1214,1284,88,55
1295,722,1661,1075,1188,162,50
1280,784,1657,1078,1174,97,54
1314,786,2011,1126,1163,126,53
1252,611,1740,1217,1192,158,55
1280,649,1687,1238,1166,204,50
1333,695,1911,1162,1217,215,55
1217,779,1898,1250,1124,110,55
1295,608,1894,1190,1202,272,50
1336,768,1645,1132,1200,142,56
1366,764,2081,1141,1101,189,56
1253,792,1681,1098,1087,194,57
1225,809,1568,1278,1214,215,54
1247,620,1856,1102,1106,219,56
1346,857,1814,1072,1100,128,53
1268,927,1739,1266,1174,121,57
1302,775,1625,1067,1117,172,53
1245,739,1763,1096,1118,128,60
1215,729,1982,1154,1144,127,51
1290,751,1589,1217,1141,201,56
1357,736,1544,1260,1115,214,60
1257,755,1810,1202,1110,247,59
1301,652,1807,1177,1144,213,51
1285,855,1913,1200,1187,269,54
1182,539,1856,1329,1103,123,59
1274,838,1897,1342,1078,112,54
1274,659,1741,1212,1224,281,55
1340,536,1745,1110,1170,267,56
1283,633,1918,1012,1129,171,55
1298,957,1824,1132,1079,201,54
1291,583,1674,1127,1214,214,57
1238,858,1788,1267,1164,174,55
1309,858,1820,1262,1184,94,54
1274,617,1718,1174,1194,169,56
1292,672,1688,1260,1121,108,52
1239,755,1804,1092,1214,153,55
1304,593,1639,1269,1216,186,58
1237,938,1715,1159,1072,176,57
1289,1046,1780,1272,1130,208,51
1249,957,1833,1240,1195,227,53
1265,918,1942,1276,1176,217,53
1191,748,1636,1172,1161,225,55
1293,689,1699,1078,1212,286,54
1283,744,1422,1339,1089,233,59
1266,921,1665,1160,1237,174,58
1237,709,1847,1135,1137,189,59
1276,604,1712,1063,1060,133,54
