Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
1335,846,1646,1142,1116,66,54
1290,655,1808,1138,1144,186,57
1252,642,1865,1285,1078,278,52
1302,582,1802,1128,1107,137,50
1267,1022,1828,1251,1019,155,51
1265,788,1766,1106,1186,174,53
1289,864,1851,1101,1287,217,50
1297,646,1742,1176,1129,170,58
1309,586,1798,1136,1188,133,57
1259,732,1999,1186,1061,334,58
1216,689,1850,1281,1122,208,52
1296,869,1684,1225,1244,109,55
1225,802,1899,1267,1113,142,56
1286,816,1692,1134,1108,141,49
1334,768,1832,1111,1048,167,59
1333,930,1860,1081,1159,175,57
1311,832,1794,1110,1142,124,57
1256,633,1933,1055,1078,143,58
1262,847,2006,1269,1214,201,52
1318,777,1477,1030,1108,135,54
1301,676,1932,1134,1150,121,52
1258,760,1906,1008,1134,141,50
1252,694,1870,1093,1226,162,62
1305,675,1849,1209,1254,280,51
1288,676,1716,1018,1167,299,56
1284,834,1710,1145,1068,133,53
1318,540,1742,1123,1208,188,54
1258,887,2165,1078,1097,167,51
1322,1034,1956,1076,1106,179,54
1266,871,1880,1151,1169,192,56
1193,765,1963,1062,1307,266,55
1336,560,1839,1172,1079,167,60
1308,941,1776,1116,1255,250,59
1222,848,1884,1271,1107,92,54
1347,599,1700,1358,1086,131,54
1249,739,1806,1015,1129,112,55
1222,981,1854,1105,1232,208,54
1283,550,1749,1141,1043,109,53
1244,682,1826,1157,1084,186,59
1311,842,1902,1190,1130,143,60
1329,761,1809,1170,1237,122,58
1330,636,1664,1135,1159,181,58
1249,645,1934,1176,1140,194,57
1309,719,1615,1137,1197,168,53
1295,815,1788,1240,1145,187,54
1200,687,1787,1232,1126,146,54
1251,755,1961,1193,1103,140,58
1355,655,2043,1280,1095,277,56
1178,571,2069,1150,1127,181,56
1314,712,1929,1269,1141,151,53
1232,842,1789,1203,1167,106,55
1248,725,1719,1095,1222,255,51
1282,746,1768,1146,1124,141,51
1233,695,1619,1172,1276,219,55
